Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,9.300000,9.500000,9.300000,9.500000,9.500000,6000
2017-09-26,9.150000,9.580000,9.150000,9.580000,9.580000,18200
2017-09-27,9.530000,9.600000,9.530000,9.600000,9.600000,2800
2017-09-28,9.680000,9.680000,9.450000,9.460000,9.460000,4800
2017-09-29,9.460000,9.460000,9.460000,9.460000,9.460000,0
2017-10-02,9.250000,9.250000,9.250000,9.250000,9.250000,1000
2017-10-03,9.250000,9.270000,9.240000,9.270000,9.270000,400
2017-10-04,9.140000,9.140000,9.140000,9.140000,9.140000,1000
2017-10-05,9.340000,9.340000,9.340000,9.340000,9.340000,1000
2017-10-06,9.050000,9.050000,8.980000,9.000000,9.000000,2100
2017-10-10,9.030000,9.350000,9.030000,9.350000,9.350000,6900
2017-10-11,9.350000,9.370000,9.350000,9.370000,9.370000,1400
2017-10-12,9.350000,9.350000,9.350000,9.350000,9.350000,100
2017-10-13,9.500000,9.500000,9.450000,9.450000,9.450000,900
2017-10-16,9.590000,9.630000,9.590000,9.630000,9.630000,1400
2017-10-17,9.660000,9.660000,9.590000,9.650000,9.650000,1200
2017-10-18,9.670000,9.670000,9.670000,9.670000,9.670000,100
2017-10-19,9.670000,9.670000,9.670000,9.670000,9.670000,0
2017-10-20,9.500000,9.510000,9.500000,9.510000,9.510000,500
2017-10-23,9.400000,9.400000,9.400000,9.400000,9.400000,200
2017-10-24,9.400000,9.400000,9.400000,9.400000,9.400000,0
2017-10-25,9.400000,9.400000,9.400000,9.400000,9.400000,0
2017-10-26,9.500000,9.500000,9.500000,9.500000,9.500000,200
2017-10-27,9.750000,9.800000,9.720000,9.720000,9.720000,5100
2017-10-30,9.800000,9.830000,9.780000,9.830000,9.830000,3900
2017-10-31,9.760000,9.900000,9.760000,9.900000,9.900000,1800
2017-11-01,10.000000,10.000000,10.000000,10.000000,10.000000,800
2017-11-02,10.000000,10.000000,10.000000,10.000000,10.000000,0
2017-11-03,9.800000,9.800000,9.700000,9.770000,9.770000,3100
2017-11-06,10.000000,10.410000,10.000000,10.410000,10.410000,7300
2017-11-07,10.410000,10.510000,10.400000,10.510000,10.510000,6400
2017-11-08,10.370000,10.370000,10.370000,10.370000,10.370000,500
2017-11-09,10.450000,10.500000,10.350000,10.350000,10.350000,3300
